1-1  | Pilot
1-2  | Lawnmower Dog
1-3  | Anatomy Park
1-4  | M. Night Shaym-Aliens!
1-5  | Meeseeks and Destroy
1-6  | Rick Potion #9
1-7  | Raising Gazorpazorp
1-8  | Rixty Minutes
1-9  | Something Ricked This Way Comes
1-10 | Close Rick-Counters of the Rick Kind
1-11 | Ricksy Business
2-1  | A Rickle in Time
2-2  | Mortynight Run
2-3  | Auto Erotic Assimilation
2-4  | Total Rickall
2-5  | Get Schwifty
2-6  | The Ricks Must Be Crazy
2-7  | Big Trouble in Little Sanchez
2-8  | Interdimensional Cable 2: Tempting Fate
2-9  | Look Who's Purging Now
2-10 | The Wedding Squanchers
3-1  | The Rickshank Rickdemption
3-2  | Rickmancing the Stone
3-3  | Pickle Rick
3-4  | Vindicators 3: The Return of Worldender
3-5  | The Whirly Dirly Conspiracy
3-6  | Rest and Ricklaxation
3-7  | The Ricklantis Mixup
3-8  | Morty's Mind Blowers
3-9  | The ABC's of Beth
3-10 | The Rickchurian Mortydate
4-1  | Edge of Tomorty: Rick, Die, Rickpeat
4-2  | The Old Man and the Seat
4-3  | One Crew Over the Crewcoo's Morty
4-4  | Claw and Hoarder: Special Ricktim's Morty
4-5  | Rattlestar Ricklactica
4-6  | Never Ricking Morty
4-7  | Promortyus
4-8  | The Vat of Acid Episode
4-9  | Childrick of Mort
4-10 | Star Mort Rickturn of the Jerri
5-1  | Mort Dinner Rick Andre
5-2  | Mortyplicity
5-3  | A Rickconvenient Mort
5-4  | Rickdependence Spray
5-5  | Amortycan Grickfitti
5-6  | Rick & Morty's Thanksploitation Spectacular
5-7  | Gotron Jerrysis Rickvangelion
5-8  | Rickternal Friendshine of the Spotless Mort
5-9  | Forgetting Sarick Mortshall
5-10 | Rickmurai Jack
