1-1  | Minimum Viable Product
1-2  | The Cap Table
1-3  | Articles of Incorporation
1-4  | Fiduciary Duties
1-5  | Signaling Risk
1-6  | Third Party Insourcing
1-7  | Proof of Concept
1-8  | Optimal Tip-to-Tip Efficiency
2-1  | Sand Hill Shuffle
2-2  | Runaway Devaluation
2-3  | Bad Money
2-4  | The Lady
2-5  | Server Space
2-6  | Homicide
2-7  | Adult Content
2-8  | White Hat/Black Hat
2-9  | Binding Arbitration
2-10 | Two Days of the Condor
3-1  | Founder Friendly
3-2  | Two in the Box
3-3  | Meinertzhagen's Haversack
3-4  | Maleant Data Systems Solutions
3-5  | The Empty Chair
3-6  | Bachmanity Insanity
3-7  | To Build a Better Beta
3-8  | Bachman's Earning's Over-ride
3-9  | Daily Active Users
3-10 | The Uptick
4-1  | Success Failure
4-2  | Terms of Service
4-3  | Intellectual Property
4-4  | Teambuilding Exercise
4-5  | The Blood Boy
4-6  | Customer Service
4-7  | The Patent Troll
4-8  | The Keenan Vortex
4-9  | Hooli-Con
4-10 | Server Error
5-1  | Grow Fast or Die Slow
5-2  | Reorientation
5-3  | Chief Operating Officer
5-4  | Tech Evangelist
5-5  | Facial Recognition
5-6  | Artificial Emotional Intelligence
5-7  | Initial Coin Offering
5-8  | Fifty-One Percent
6-1  | Artificial Lack of Intelligence
6-2  | Blood Money
6-3  | Hooli Smokes!
6-4  | Maximizing Alphaness
6-5  | Tethics
6-6  | RussFest
6-7  | Exit Event
